gamma,latency_budget_ms,fastest_freq_hz,fastest_latency_ms,energy_best_freq_hz,energy_best_mj_per_token,latency_constrained_best_freq_hz,latency_constrained_best_mj_per_token,energy_saving_vs_high_percent
1,9590.275,1300500000,9133.595,816000000,2039.494,816000000,2039.494,7.195
2,8318.116,1300500000,7922.015,816000000,1593.609,816000000,1593.609,12.000
4,6891.734,816000000,6544.049,816000000,1188.727,816000000,1188.727,8.505
8,6587.499,1300500000,6273.809,816000000,956.786,816000000,956.786,10.149
