gamma,latency_budget_ms,fastest_freq_hz,fastest_latency_ms,energy_best_freq_hz,energy_best_mj_per_token,latency_constrained_best_freq_hz,latency_constrained_best_mj_per_token,energy_saving_vs_high_percent
1,16901.369,1300500000,16096.542,612000000,4189.182,612000000,4189.182,12.003
2,15262.115,816000000,14242.151,816000000,3353.411,816000000,3353.411,10.944
4,13959.323,816000000,13242.520,816000000,2659.786,816000000,2659.786,9.518
8,15808.745,1300500000,15055.948,612000000,2552.485,612000000,2552.485,7.934
