gamma,latency_budget_ms,fastest_freq_hz,fastest_latency_ms,energy_best_freq_hz,energy_best_mj_per_token,latency_constrained_best_freq_hz,latency_constrained_best_mj_per_token,energy_saving_vs_high_percent
1,17302.923,1300500000,16478.974,816000000,5947.395,1300500000,6573.895,0.000
2,15161.865,1300500000,14439.871,816000000,4345.846,816000000,4345.846,9.202
4,14160.288,1300500000,13485.989,816000000,3416.163,816000000,3416.163,6.482
8,15541.978,1300500000,14801.884,816000000,2992.945,816000000,2992.945,5.260
