gamma,latency_budget_ms,fastest_drafter_freq_hz,fastest_latency_ms,energy_best_drafter_freq_hz,energy_best_mj_per_token,latency_constrained_best_drafter_freq_hz,latency_constrained_best_mj_per_token,energy_saving_vs_high_percent
1,17098.165,510000000,16283.967,306000000,4220.596,306000000,4220.596,0.593
2,15268.276,624750000,14541.215,306000000,3349.473,306000000,3349.473,0.920
4,13924.890,612000000,13261.800,408000000,2674.964,408000000,2674.964,0.772
8,15791.566,612000000,15039.587,510000000,2559.323,510000000,2559.323,0.134
