gamma,latency_budget_ms,fastest_drafter_freq_hz,fastest_latency_ms,energy_best_drafter_freq_hz,energy_best_mj_per_token,latency_constrained_best_drafter_freq_hz,latency_constrained_best_mj_per_token,energy_saving_vs_high_percent
1,17098.164972000002,510000000,16283.96664,306000000,4220.5955088,306000000,4220.5955088,0.593489591582993
2,15268.275939,624750000,14541.21518,306000000,3349.4731478,306000000,3349.4731478,0.9201857173009198
4,13924.889811000001,612000000,13261.79982,408000000,2674.9635564,408000000,2674.9635564,0.7720922194081371
8,15791.565856500001,612000000,15039.58653,510000000,2559.322756,510000000,2559.322756,0.1339820169853076
