gamma,latency_budget_ms,fastest_freq_hz,fastest_latency_ms,energy_best_freq_hz,energy_best_mj_per_token,latency_constrained_best_freq_hz,latency_constrained_best_mj_per_token,energy_saving_vs_high_percent
1,17119.241,1300500000,16304.039,816000000,4183.237,816000000,4183.237,11.449
2,15248.741,1300500000,14522.610,816000000,3336.717,816000000,3336.717,11.541
4,14039.705,816000000,13255.583,816000000,2602.638,816000000,2602.638,9.631
8,15973.970,816000000,15097.970,816000000,2548.515,816000000,2548.515,8.101
